INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:39:17; connectionpool.py:697)
INFO:root: Niter: 118	date: 2017-02-10 09:39:32	dsname: Test waterproof sensor	temp_f: 78.23660000000001 (2017-02-10 09:39:32; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:39:32; connectionpool.py:697)
INFO:root: Niter: 118	date: 2017-02-10 09:39:33	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 09:39:33; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:39:33; connectionpool.py:697)
INFO:root: Niter: 116	date: 2017-02-10 09:40:04	dsname: Test waterproof sensor	temp_f: 77.45 (2017-02-10 09:40:04; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:40:04; connectionpool.py:697)
INFO:root: Niter: 115	date: 2017-02-10 09:40:19	dsname: Test waterproof sensor	temp_f: 77.11160000000001 (2017-02-10 09:40:19; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:40:19; connectionpool.py:697)
INFO:root: Niter: 114	date: 2017-02-10 09:40:35	dsname: Test waterproof sensor	temp_f: 76.8866 (2017-02-10 09:40:35; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:40:35; connectionpool.py:697)
INFO:root: Niter: 113	date: 2017-02-10 09:40:51	dsname: Test waterproof sensor	temp_f: 76.6616 (2017-02-10 09:40:51; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:40:51; connectionpool.py:697)
INFO:root: Niter: 113	date: 2017-02-10 09:40:51	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:40:51; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:40:51; connectionpool.py:697)
INFO:root: Niter: 112	date: 2017-02-10 09:41:07	dsname: Test waterproof sensor	temp_f: 76.4366 (2017-02-10 09:41:07; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:41:07; connectionpool.py:697)
INFO:root: Niter: 112	date: 2017-02-10 09:41:07	dsname: Test mini sensor	temp_f: 75.2 (2017-02-10 09:41:07; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:41:07; connectionpool.py:697)
INFO:root: Niter: 111	date: 2017-02-10 09:41:23	dsname: Test waterproof sensor	temp_f: 76.2116 (2017-02-10 09:41:23; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:41:23; connectionpool.py:697)
INFO:root: Niter: 110	date: 2017-02-10 09:41:39	dsname: Test waterproof sensor	temp_f: 76.1 (2017-02-10 09:41:39; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:41:39; connectionpool.py:697)
INFO:root: Niter: 109	date: 2017-02-10 09:41:54	dsname: Test waterproof sensor	temp_f: 75.98660000000001 (2017-02-10 09:41:54; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:41:54; connectionpool.py:697)
INFO:root: Niter: 109	date: 2017-02-10 09:41:55	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:41:55; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:41:55; connectionpool.py:697)
INFO:root: Niter: 108	date: 2017-02-10 09:42:10	dsname: Test waterproof sensor	temp_f: 75.875 (2017-02-10 09:42:10; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:42:10; connectionpool.py:697)
INFO:root: Niter: 107	date: 2017-02-10 09:42:26	dsname: Test waterproof sensor	temp_f: 75.7616 (2017-02-10 09:42:26; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:42:26; connectionpool.py:697)
INFO:root: Niter: 106	date: 2017-02-10 09:42:42	dsname: Test waterproof sensor	temp_f: 75.65 (2017-02-10 09:42:42; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:42:42; connectionpool.py:697)
INFO:root: Niter: 104	date: 2017-02-10 09:43:13	dsname: Test waterproof sensor	temp_f: 75.5366 (2017-02-10 09:43:13; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:43:13; connectionpool.py:697)
INFO:root: Niter: 103	date: 2017-02-10 09:43:28	dsname: Test waterproof sensor	temp_f: 75.425 (2017-02-10 09:43:28; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:43:28; connectionpool.py:697)
INFO:root: Niter: 99	date: 2017-02-10 09:44:30	dsname: Test waterproof sensor	temp_f: 75.3116 (2017-02-10 09:44:30; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:44:30; connectionpool.py:697)
INFO:root: Niter: 96	date: 2017-02-10 09:45:16	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 09:45:16; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:45:16; connectionpool.py:697)
INFO:root: Niter: 92	date: 2017-02-10 09:46:17	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:46:17; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:46:17; connectionpool.py:697)
INFO:root: Niter: 90	date: 2017-02-10 09:46:48	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 09:46:48; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:46:48; connectionpool.py:697)
INFO:root: Niter: 86	date: 2017-02-10 09:47:49	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:47:49; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:47:49; connectionpool.py:697)
INFO:root: Niter: 81	date: 2017-02-10 09:49:05	dsname: Test waterproof sensor	temp_f: 75.2 (2017-02-10 09:49:05; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:49:05; connectionpool.py:697)
INFO:root: Niter: 81	date: 2017-02-10 09:49:06	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 09:49:06; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:49:06; connectionpool.py:697)
INFO:root: Niter: 80	date: 2017-02-10 09:49:22	dsname: Test mini sensor	temp_f: 75.3116 (2017-02-10 09:49:22; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 09:49:22; connectionpool.py:697)
